성별,연령대별,사망원인 순위,사망원인,사망자수(명),사망률(십만명당)
성별,연령대별,사망원인 순위,사망원인,사망자수(명),사망률(십만명당)
여자,30-39세,6위,운수 사고,34,1
여자,30-39세,7위,당뇨병,27,1
여자,30-39세,8위,폐렴,19,1
여자,30-39세,9위,가해(타살),13,0
여자,30-39세,10위,기타 직접 산과적 사망,10,0
여자,40-49세,1위,악성신생물,1388,36
여자,40-49세,2위,고의적 자해(자살),798,21
여자,40-49세,3위,간의 질환,296,8
여자,40-49세,4위,뇌혈관 질환,204,5
여자,40-49세,5위,심장 질환,166,4
여자,40-49세,6위,운수 사고,53,1
여자,40-49세,7위,당뇨병,52,1
여자,40-49세,8위,폐렴,52,1
여자,40-49세,9위,정신활성 물질 사용에 의한 정신 및 행동 장애 ,26,1
여자,40-49세,10위,패혈증,24,1
여자,50-59세,1위,악성신생물,3751,88
여자,50-59세,2위,고의적 자해(자살),762,18
여자,50-59세,3위,뇌혈관 질환,441,10
여자,50-59세,4위,간의 질환,352,8
여자,50-59세,5위,심장 질환,311,7
여자,50-59세,6위,당뇨병,162,4
여자,50-59세,7위,폐렴,128,3
여자,50-59세,8위,운수 사고,106,3
여자,50-59세,9위,추락,56,1
여자,50-59세,10위,패혈증,53,1
여자,60-69세,1위,악성신생물,6244,160
여자,60-69세,2위,심장 질환,862,22
여자,60-69세,3위,뇌혈관 질환,858,22
여자,60-69세,4위,고의적 자해(자살),580,15
여자,60-69세,5위,당뇨병,420,11
여자,60-69세,6위,폐렴,392,10
여자,60-69세,7위,간의 질환,350,9
여자,60-69세,8위,운수 사고,187,5
여자,60-69세,9위,패혈증,184,5
여자,60-69세,10위,알쯔하이머병,127,3
여자,70-79세,1위,악성신생물,8059,367
여자,70-79세,2위,심장 질환,2111,96
여자,70-79세,3위,뇌혈관 질환,2011,92
여자,70-79세,4위,폐렴,1485,68
여자,70-79세,5위,당뇨병,932,43
여자,70-79세,6위,패혈증,653,30
여자,70-79세,7위,알쯔하이머병,561,26
여자,70-79세,8위,고혈압성 질환,474,22
여자,70-79세,9위,간의 질환,404,18
여자,70-79세,10위,고의적 자해(자살),383,18
여자,80세 이상,1위,악성신생물,14264,917
여자,80세 이상,2위,심장 질환,13191,848
여자,80세 이상,3위,폐렴,12381,796
여자,80세 이상,4위,뇌혈관 질환,8786,565
여자,80세 이상,5위,알쯔하이머병,7700,495
여자,80세 이상,6위,고혈압성 질환,4647,299
여자,80세 이상,7위,패혈증,3723,239
여자,80세 이상,8위,당뇨병,3569,229
여자,80세 이상,9위,만성 하기도 질환,1687,108
여자,80세 이상,10위,코로나19,1185,76
여자,15세 미만,1위,출생전후기에 기원한 특정 병태,112,4
여자,15세 미만,2위,선천 기형 변형 및 염색체 이상,64,2
여자,15세 미만,3위,고의적 자해(자살),45,2
여자,15세 미만,4위,악성신생물,43,2
여자,15세 미만,5위,가해(타살),22,1
여자,15세 미만,6위,심장 질환,21,1
여자,15세 미만,7위,영아 급사 증후군,16,1
여자,15세 미만,8위,운수 사고,12,0
여자,15세 미만,9위,폐렴,7,0
여자,15세 미만,10위,인플루엔자,6,0
여자,15-64세,1위,악성신생물,8498,49
여자,15-64세,2위,고의적 자해(자살),3215,19
여자,15-64세,3위,뇌혈관 질환,1054,6
여자,15-64세,4위,간의 질환,915,5
여자,15-64세,5위,심장 질환,867,5
여자,15-64세,6위,당뇨병,427,3
여자,15-64세,7위,폐렴,336,2
여자,15-64세,8위,운수 사고,318,2
여자,15-64세,9위,패혈증,155,1
여자,15-64세,10위,추락,134,1
여자,15-39세,1위,고의적 자해(자살),1324,19
여자,15-39세,2위,악성신생물,533,7
여자,15-39세,3위,간의 질환,98,1
여자,15-39세,4위,뇌혈관 질환,86,1
여자,15-39세,5위,운수 사고,80,1
여자,15-39세,6위,심장 질환,71,1
여자,15-39세,7위,당뇨병,37,1
여자,15-39세,8위,가해(타살),32,0
여자,15-39세,9위,폐렴,30,0
여자,15-39세,10위,추락,16,0
여자,40-64세,1위,악성신생물,7965,78
여자,40-64세,2위,고의적 자해(자살),1891,19
여자,40-64세,3위,뇌혈관 질환,968,10
여자,40-64세,4위,간의 질환,817,8
여자,40-64세,5위,심장 질환,796,8
여자,40-64세,6위,당뇨병,390,4
여자,40-64세,7위,폐렴,306,3
여자,40-64세,8위,운수 사고,238,2
여자,40-64세,9위,패혈증,146,1
여자,40-64세,10위,추락,118,1
여자,65세 이상,1위,악성신생물,25741,464
여자,65세 이상,2위,심장 질환,15845,286
여자,65세 이상,3위,폐렴,14132,255
여자,65세 이상,4위,뇌혈관 질환,11332,204
여자,65세 이상,5위,알쯔하이머병,8346,150
여자,65세 이상,6위,고혈압성 질환,5193,94
여자,65세 이상,7위,당뇨병,4745,86
여자,65세 이상,8위,패혈증,4491,81
여자,65세 이상,9위,만성 하기도 질환,2055,37
여자,65세 이상,10위,코로나19,1424,26
여자,65-74세,1위,악성신생물,7035,232
여자,65-74세,2위,심장 질환,1265,42
여자,65-74세,3위,뇌혈관 질환,1237,41
여자,65-74세,4위,폐렴,734,24
여자,65-74세,5위,당뇨병,581,19
여자,65-74세,6위,고의적 자해(자살),442,15
여자,65-74세,7위,패혈증,353,12
여자,65-74세,8위,간의 질환,343,11
여자,65-74세,9위,운수 사고,240,8
여자,65-74세,10위,고혈압성 질환,233,8
여자,75세 이상,1위,악성신생물,18706,743
여자,75세 이상,2위,심장 질환,14580,579
여자,75세 이상,3위,폐렴,13398,532
여자,75세 이상,4위,뇌혈관 질환,10095,401
여자,75세 이상,5위,알쯔하이머병,8120,323
여자,75세 이상,6위,고혈압성 질환,4960,197
여자,75세 이상,7위,당뇨병,4164,165
여자,75세 이상,8위,패혈증,4138,164
여자,75세 이상,9위,만성 하기도 질환,1870,74
여자,75세 이상,10위,코로나19,1308,52
